,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
198,Matteo Aicardi,M,30.0,192.0,102.0,Italy,2016 Summer,2016,Water Polo,Water Polo Men's Water Polo,Bronze
199,Mara Magdalena Aicega Amicarelli,F,26.0,165.0,60.0,Argentina,2000 Summer,2000,Hockey,Hockey Women's Hockey,Silver
200,Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,Argentina,2004 Summer,2004,Hockey,Hockey Women's Hockey,Bronze
201,Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,Argentina,2008 Summer,2008,Hockey,Hockey Women's Hockey,Bronze
202,Rosaria Aiello,F,27.0,172.0,74.0,Italy,2016 Summer,2016,Water Polo,Water Polo Women's Water Polo,Silver
203,Hannes Aigner,M,23.0,183.0,75.0,Germany,2012 Summer,2012,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
204,Nobuyuki Aihara,M,21.0,154.0,53.0,Japan,1956 Summer,1956,Gymnastics,Gymnastics Men's Team All-Around,Silver
205,Nobuyuki Aihara,M,21.0,154.0,53.0,Japan,1956 Summer,1956,Gymnastics,Gymnastics Men's Floor Exercise,Silver
206,Nobuyuki Aihara,M,25.0,154.0,53.0,Japan,1960 Summer,1960,Gymnastics,Gymnastics Men's Team All-Around,Gold
207,Nobuyuki Aihara,M,25.0,154.0,53.0,Japan,1960 Summer,1960,Gymnastics,Gymnastics Men's Floor Exercise,Gold
208,Yutaka Aihara,M,21.0,156.0,55.0,Japan,1992 Summer,1992,Gymnastics,Gymnastics Men's Team All-Around,Bronze
209,Ryoji Aikawa,M,28.0,183.0,85.0,Japan,2004 Summer,2004,Baseball,Baseball Men's Baseball,Bronze
210,"Charles Benedict ""Ben"" Ainslie",M,19.0,183.0,90.0,Great Britain,1996 Summer,1996,Sailing,Sailing Mixed One Person Dinghy,Silver
211,"Charles Benedict ""Ben"" Ainslie",M,23.0,183.0,90.0,Great Britain,2000 Summer,2000,Sailing,Sailing Mixed One Person Dinghy,Gold
212,"Charles Benedict ""Ben"" Ainslie",M,27.0,183.0,90.0,Great Britain,2004 Summer,2004,Sailing,Sailing Men's One Person Dinghy,Gold
213,"Charles Benedict ""Ben"" Ainslie",M,31.0,183.0,90.0,Great Britain,2008 Summer,2008,Sailing,Sailing Mixed One Person Dinghy,Gold
214,"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,Great Britain,2012 Summer,2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
215,Kurt Harold Ainsworth,M,22.0,187.0,84.0,United States,2000 Summer,2000,Baseball,Baseball Men's Baseball,Gold
216,Robin Allingham Aisher,M,34.0,185.0,85.0,Great Britain,1968 Summer,1968,Sailing,Sailing Mixed 5.5 metres,Bronze
217,Brett Aitken,M,21.0,173.0,65.0,Australia,1992 Summer,1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
218,Brett Aitken,M,25.0,173.0,65.0,Australia,1996 Summer,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
219,Brett Aitken,M,29.0,173.0,65.0,Australia,2000 Summer,2000,Cycling,Cycling Men's Madison,Gold
220,Artur Surenovych Aivazian,M,35.0,177.0,88.0,Ukraine,2008 Summer,2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
221,Eirini Andili,F,17.0,167.0,45.0,Greece,2000 Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
222,"Oluwafemi ""Junior"" Ajayi",M,20.0,172.0,79.0,Nigeria,2016 Summer,2016,Football,Football Men's Football,Bronze
223,Omar Ajete Iglesias,M,27.0,175.0,93.0,Cuba,1992 Summer,1992,Baseball,Baseball Men's Baseball,Gold
224,Omar Ajete Iglesias,M,31.0,175.0,93.0,Cuba,1996 Summer,1996,Baseball,Baseball Men's Baseball,Gold
225,Omar Ajete Iglesias,M,35.0,175.0,93.0,Cuba,2000 Summer,2000,Baseball,Baseball Men's Baseball,Silver
226,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23.0,185.0,75.0,Nigeria,2008 Summer,2008,Football,Football Men's Football,Silver
227,Mobolade Abimbola Ajomale,M,20.0,180.0,62.0,Canada,2016 Summer,2016,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
228,Chioma Ajunwa (-Opara),F,24.0,164.0,57.0,Nigeria,1996 Summer,1996,Athletics,Athletics Women's Long Jump,Gold
229,Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,185.0,81.0,Great Britain,1984 Summer,1984,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
230,Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,185.0,81.0,Great Britain,1992 Summer,1992,Athletics,Athletics Men's 400 metres Hurdles,Bronze
231,Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,185.0,81.0,Great Britain,1992 Summer,1992,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
232,Kosei Akaishi,M,19.0,172.0,74.0,Japan,1984 Summer,1984,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
233,Kosei Akaishi,M,27.0,172.0,74.0,Japan,1992 Summer,1992,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
234,Vehbi Akda,M,23.0,168.0,62.0,Turkey,1972 Summer,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
235,Michelle Anne Akers,F,30.0,178.0,68.0,United States,1996 Summer,1996,Football,Football Women's Football,Gold
236,Taha Akgl,M,25.0,192.0,125.0,Turkey,2016 Summer,2016,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
237,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,18.0,181.0,80.0,Soviet Union,1980 Summer,1980,Volleyball,Volleyball Women's Volleyball,Gold
238,Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Uzbekistan,2016 Summer,2016,Boxing,Boxing Men's Bantamweight,Bronze
239,Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,Russia,2016 Summer,2016,Fencing,"Fencing Men's Foil, Team",Gold
240,Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,Russia,2008 Summer,2008,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
241,Lyutvi Dzhiber Akhmedov,M,34.0,184.0,87.0,Bulgaria,1964 Summer,1964,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
242,Leyla Begnyazovna Akhmerova,F,23.0,160.0,52.0,Soviet Union,1980 Summer,1980,Hockey,Hockey Women's Hockey,Bronze
243,Igor Vladimirovich Akhremchik,M,26.0,180.0,79.0,Soviet Union,1960 Summer,1960,Rowing,Rowing Men's Coxless Fours,Bronze
244,Gulraiz Akhtar,M,25.0,172.0,61.0,Pakistan,1968 Summer,1968,Hockey,Hockey Men's Hockey,Gold
245,Naeem Akhtar,M,23.0,173.0,65.0,Pakistan,1984 Summer,1984,Hockey,Hockey Men's Hockey,Gold
246,John Akii-Bua,M,22.0,188.0,77.0,Uganda,1972 Summer,1972,Athletics,Athletics Men's 400 metres Hurdles,Gold
247,Anatoly Ivanovich Akimov,M,24.0,181.0,84.0,Soviet Union,1972 Summer,1972,Water Polo,Water Polo Men's Water Polo,Gold
248,Vladimir Ivanovich Akimov,M,27.0,184.0,80.0,Soviet Union,1980 Summer,1980,Water Polo,Water Polo Men's Water Polo,Gold
249,Morolake Akinosun,F,22.0,163.0,61.0,United States,2016 Summer,2016,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
250,Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,United States,2012 Summer,2012,Volleyball,Volleyball Women's Volleyball,Silver
251,Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,United States,2016 Summer,2016,Volleyball,Volleyball Women's Volleyball,Bronze
252,Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,Russia,2004 Summer,2004,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
253,Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,Russia,2008 Summer,2008,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
254,Marina Dazmirovna Akobiya,F,25.0,165.0,57.0,Russia,2000 Summer,2000,Water Polo,Water Polo Women's Water Polo,Bronze
255,Daniel Akpeyi,M,30.0,187.0,80.0,Nigeria,2016 Summer,2016,Football,Football Men's Football,Bronze
256,Monica Aksamit,F,26.0,183.0,74.0,United States,2016 Summer,2016,Fencing,"Fencing Women's Sabre, Team",Bronze
257,Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,165.0,58.0,Soviet Union,1976 Summer,1976,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
258,Aleksandr Timofeyevich Aksinin,M,21.0,173.0,67.0,Soviet Union,1976 Summer,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
259,Aleksandr Timofeyevich Aksinin,M,25.0,173.0,67.0,Soviet Union,1980 Summer,1980,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
260,Nikolay Aleksandrovich Aksyonov,M,26.0,201.0,100.0,Russia,1996 Summer,1996,Rowing,Rowing Men's Coxed Eights,Bronze
261,Irina Anatolyevna Aksyonova,F,17.0,174.0,62.0,Soviet Union,1980 Summer,1980,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
262,Vladyslav Ivanovych Akymenko,M,23.0,192.0,88.0,Soviet Union,1976 Summer,1976,Sailing,Sailing Mixed Two Person Keelboat,Silver
263,Naser Al Shami,M,22.0,187.0,81.0,Syria,2004 Summer,2004,Boxing,Boxing Men's Heavyweight,Bronze
264,Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,178.0,82.0,Qatar,2012 Summer,2012,Shooting,Shooting Men's Skeet,Bronze
265,Fehaid Al-Deehani,M,33.0,178.0,95.0,Kuwait,2000 Summer,2000,Shooting,Shooting Men's Double Trap,Bronze
266,Fehaid Al-Deehani,M,45.0,178.0,95.0,Kuwait,2012 Summer,2012,Shooting,Shooting Men's Trap,Bronze
267,Fehaid Al-Deehani,M,49.0,178.0,95.0,Individual Olympic Athletes,2016 Summer,2016,Shooting,Shooting Men's Double Trap,Gold
268,Ramzy Al-Duhami,M,40.0,162.0,70.0,Saudi Arabia,2012 Summer,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
269,Khaled Al-Eid,M,31.0,175.0,57.0,Saudi Arabia,2000 Summer,2000,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
270,Abdul Rashid Al-Hasan,M,25.0,170.0,63.0,Pakistan,1984 Summer,1984,Hockey,Hockey Men's Hockey,Gold
271,Ahmed bin Hasher Al-Maktoum,M,40.0,175.0,67.0,United Arab Emirates,2004 Summer,2004,Shooting,Shooting Men's Double Trap,Gold
272,Abdullah Al-Rashidi,M,52.0,183.0,83.0,Individual Olympic Athletes,2016 Summer,2016,Shooting,Shooting Men's Skeet,Bronze
273,Prince Abdullah Bin Moteb Al-Saud,M,27.0,178.0,69.0,Saudi Arabia,2012 Summer,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
274,Hadi Soua'an Al-Somaily Jaadan,M,23.0,191.0,72.0,Saudi Arabia,2000 Summer,2000,Athletics,Athletics Men's 400 metres Hurdles,Silver
275,Marina Alabau Neira,F,26.0,164.0,55.0,Spain,2012 Summer,2012,Sailing,Sailing Women's Windsurfer,Gold
276,Armenak Alachachyan,M,33.0,176.0,74.0,Soviet Union,1964 Summer,1964,Basketball,Basketball Men's Basketball,Silver
277,Arsen Shakhlamazovich Alakhverdiyev,M,23.0,154.0,52.0,Soviet Union,1972 Summer,1972,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
278,Noor Alam,M,26.0,172.0,73.0,Pakistan,1956 Summer,1956,Hockey,Hockey Men's Hockey,Silver
279,Noor Alam,M,30.0,172.0,73.0,Pakistan,1960 Summer,1960,Hockey,Hockey Men's Hockey,Gold
280,Vladan Alanovi,M,25.0,190.0,81.0,Croatia,1992 Summer,1992,Basketball,Basketball Men's Basketball,Silver
281,Fabio Albarelli,M,25.0,179.0,80.0,Italy,1968 Summer,1968,Sailing,Sailing Mixed One Person Dinghy,Bronze
282,Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,Russia,2012 Summer,2012,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
283,David Albelda Aliqus,M,23.0,182.0,75.0,Spain,2000 Summer,2000,Football,Football Men's Football,Silver
284,Reinhard Alber,M,20.0,184.0,75.0,West Germany,1984 Summer,1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
285,Alberto Alberani Samaritani,M,29.0,192.0,82.0,Italy,1976 Summer,1976,Water Polo,Water Polo Men's Water Polo,Silver
286,Flrin Albert,M,18.0,182.0,75.0,Hungary,1960 Summer,1960,Football,Football Men's Football,Bronze
287,Nely Carla Alberto Francisca,F,29.0,179.0,90.0,Spain,2012 Summer,2012,Handball,Handball Women's Handball,Bronze
288,Ebbe Gustav Bertil Albertsson (-Andersson),M,26.0,177.0,67.0,Sweden,1948 Summer,1948,Athletics,"Athletics Men's 10,000 metres",Bronze
289,Abramo Albini,M,20.0,180.0,83.0,Italy,1968 Summer,1968,Rowing,Rowing Men's Coxless Fours,Bronze
290,Islam-Beka Said-Tsilimovich Albiyev,M,19.0,165.0,66.0,Russia,2008 Summer,2008,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
291,John Robert Albrechtson,M,39.0,181.0,67.0,Sweden,1976 Summer,1976,Sailing,Sailing Mixed Two Person Keelboat,Gold
292,"David Donald ""Dave"" Albritton",M,23.0,191.0,79.0,United States,1936 Summer,1936,Athletics,Athletics Men's High Jump,Silver
293,Anatoly Mikhaylovich Albul,M,24.0,181.0,87.0,Soviet Union,1960 Summer,1960,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
294,Aldair Nascimento dos Santos,M,30.0,183.0,76.0,Brazil,1996 Summer,1996,Football,Football Men's Football,Bronze
295,Andrs Aldama Cabrera,M,20.0,183.0,63.0,Cuba,1976 Summer,1976,Boxing,Boxing Men's Light-Welterweight,Silver
296,Andrs Aldama Cabrera,M,24.0,183.0,63.0,Cuba,1980 Summer,1980,Boxing,Boxing Men's Welterweight,Gold
297,"Frederick Pitt ""Fred"" Alderman",M,22.0,177.0,75.0,United States,1928 Summer,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
298,"Joan ""Jody"" Alderson (-Braskamp)",F,17.0,170.0,59.0,United States,1952 Summer,1952,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
299,David Alegre Biosca,M,23.0,184.0,75.0,Spain,2008 Summer,2008,Hockey,Hockey Men's Hockey,Silver
300,Ramn Alegre Biosca,M,27.0,171.0,71.0,Spain,2008 Summer,2008,Hockey,Hockey Men's Hockey,Silver
301,Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,New Zealand,2012 Summer,2012,Sailing,Sailing Women's Two Person Dinghy,Gold
302,Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,New Zealand,2016 Summer,2016,Sailing,Sailing Women's Two Person Dinghy,Silver
303,Virgilijus Alekna,M,28.0,200.0,130.0,Lithuania,2000 Summer,2000,Athletics,Athletics Men's Discus Throw,Gold
304,Virgilijus Alekna,M,32.0,200.0,130.0,Lithuania,2004 Summer,2004,Athletics,Athletics Men's Discus Throw,Gold
305,Virgilijus Alekna,M,36.0,200.0,130.0,Lithuania,2008 Summer,2008,Athletics,Athletics Men's Discus Throw,Bronze
306,Rumen Aleksandrov,M,20.0,176.0,89.0,Bulgaria,1980 Summer,1980,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
307,Larisa Aleksandrova-Popova,F,19.0,180.0,83.0,Soviet Union,1976 Summer,1976,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
308,Larisa Aleksandrova-Popova,F,23.0,180.0,83.0,Soviet Union,1980 Summer,1980,Rowing,Rowing Women's Double Sculls,Gold
309,Artur Aleksanyan,M,20.0,190.0,98.0,Armenia,2012 Summer,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
310,Artur Aleksanyan,M,24.0,190.0,98.0,Armenia,2016 Summer,2016,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
311,Vasily Ivanovich Alekseyev,M,30.0,185.0,160.0,Soviet Union,1972 Summer,1972,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
312,Vasily Ivanovich Alekseyev,M,34.0,185.0,160.0,Soviet Union,1976 Summer,1976,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
313,Galina Aleksandrovna Alekseyeva,F,17.0,157.0,50.0,Soviet Union,1964 Summer,1964,Diving,Diving Women's Platform,Bronze
314,Milan Aleksi,M,26.0,193.0,96.0,Serbia,2012 Summer,2012,Water Polo,Water Polo Men's Water Polo,Bronze
315,Milan Aleksi,M,30.0,193.0,96.0,Serbia,2016 Summer,2016,Water Polo,Water Polo Men's Water Polo,Gold
316,Alessandra dos Santos de Oliveira,F,22.0,200.0,85.0,Brazil,1996 Summer,1996,Basketball,Basketball Women's Basketball,Silver
317,Alessandra dos Santos de Oliveira,F,26.0,200.0,85.0,Brazil,2000 Summer,2000,Basketball,Basketball Women's Basketball,Bronze
318,Alex Sandro Lobo Silva,M,21.0,177.0,60.0,Brazil,2012 Summer,2012,Football,Football Men's Football,Silver
319,Lisa Alexander,F,27.0,172.0,58.0,Canada,1996 Summer,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
320,Michael O'Donel Bjarne Alexander,M,24.0,188.0,74.0,Great Britain,1960 Summer,1960,Fencing,"Fencing Men's epee, Team",Silver
321,Buffy-Lynne Alexander-Williams,F,23.0,170.0,69.0,Canada,2000 Summer,2000,Rowing,Rowing Women's Coxed Eights,Bronze
322,Marc Robert Alexandre,M,24.0,170.0,73.0,France,1984 Summer,1984,Judo,Judo Men's Half-Lightweight,Bronze
323,Marc Robert Alexandre,M,28.0,170.0,73.0,France,1988 Summer,1988,Judo,Judo Men's Lightweight,Gold
324,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,179.0,71.0,Brazil,2008 Summer,2008,Football,Football Men's Football,Bronze
325,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,179.0,71.0,Brazil,2012 Summer,2012,Football,Football Men's Football,Silver
326,Constantin Alexandru,M,26.0,157.0,52.0,Romania,1980 Summer,1980,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
327,Ion Alexe,M,26.0,189.0,81.0,Romania,1972 Summer,1972,Boxing,Boxing Men's Heavyweight,Silver
328,Vladimir Petrovich Aleynik,M,23.0,184.0,74.0,Soviet Union,1976 Summer,1976,Diving,Diving Men's Platform,Bronze
329,Vladimir Petrovich Aleynik,M,27.0,184.0,74.0,Soviet Union,1980 Summer,1980,Diving,Diving Men's Platform,Silver
330,Yevgeny Vasilyevich Aleynikov,M,33.0,181.0,88.0,Russia,2000 Summer,2000,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
331,Abdoul Razak Issoufou Alfaga,M,21.0,207.0,90.0,Niger,2016 Summer,2016,Taekwondo,Taekwondo Men's Heavyweight,Silver
332,Lidiya Nikolayevna Alfeyeva,F,30.0,170.0,62.0,Soviet Union,1976 Summer,1976,Athletics,Athletics Women's Long Jump,Bronze
333,Alfonso Prez Muoz,M,19.0,178.0,69.0,Spain,1992 Summer,1992,Football,Football Men's Football,Gold
334,"Stephen Todd ""Steve"" Alford",M,19.0,185.0,74.0,United States,1984 Summer,1984,Basketball,Basketball Men's Basketball,Gold
335,"Zenny ""Algodo"" de Azevedo",M,23.0,183.0,77.0,Brazil,1948 Summer,1948,Basketball,Basketball Men's Basketball,Bronze
336,"Zenny ""Algodo"" de Azevedo",M,35.0,183.0,77.0,Brazil,1960 Summer,1960,Basketball,Basketball Men's Basketball,Bronze
337,Sara Anneli Algotsson Ostholt,F,37.0,163.0,56.0,Sweden,2012 Summer,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
338,Nasir Ali,M,25.0,176.0,69.0,Pakistan,1984 Summer,1984,Hockey,Hockey Men's Hockey,Gold
339,Nia Sifaatihii Ali,F,27.0,170.0,65.0,United States,2016 Summer,2016,Athletics,Athletics Women's 100 metres Hurdles,Silver
340,Syed Mushtaq Ali,M,22.0,165.0,61.0,India,1964 Summer,1964,Hockey,Hockey Men's Hockey,Gold
341,mile Ali Khan,M,17.0,180.0,69.0,France,1920 Summer,1920,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
342,Rahim Aliabadi,M,29.0,158.0,48.0,Iran,1972 Summer,1972,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
343,Sergey Gennadyevich Alifirenko,M,41.0,168.0,72.0,Russia,2000 Summer,2000,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
344,Sergey Gennadyevich Alifirenko,M,45.0,168.0,72.0,Russia,2004 Summer,2004,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
345,Mirko Alilovi,M,26.0,200.0,110.0,Croatia,2012 Summer,2012,Handball,Handball Men's Handball,Bronze
346,Aline Pellegrino,F,22.0,180.0,71.0,Brazil,2004 Summer,2004,Football,Football Women's Football,Silver
347,Aleksey Aleksandrovich Alipov,M,29.0,175.0,80.0,Russia,2004 Summer,2004,Shooting,Shooting Men's Trap,Gold
348,Aleksey Aleksandrovich Alipov,M,32.0,175.0,80.0,Russia,2008 Summer,2008,Shooting,Shooting Men's Trap,Bronze
349,Alison Conte Cerutti,M,26.0,203.0,106.0,Brazil-1,2012 Summer,2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
350,Alison Conte Cerutti,M,30.0,203.0,106.0,Brazil-1,2016 Summer,2016,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
351,Deji Aliu,M,28.0,187.0,75.0,Nigeria,2004 Summer,2004,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
352,Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,Russia,2008 Summer,2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
353,Kimia Alizadeh Zenoorin,F,18.0,185.0,57.0,Iran,2016 Summer,2016,Taekwondo,Taekwondo Women's Featherweight,Bronze
354,Mohamed Allalou,M,26.0,174.0,63.0,Algeria,2000 Summer,2000,Boxing,Boxing Men's Light-Welterweight,Bronze
355,Peter Frank Allam,M,25.0,193.0,93.0,Great Britain,1984 Summer,1984,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
356,Alister Millar Allan,M,40.0,162.0,68.0,Great Britain,1984 Summer,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
357,Alister Millar Allan,M,44.0,162.0,68.0,Great Britain,1988 Summer,1988,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
358,"William Charles ""Bill"" Allen",M,24.0,188.0,95.0,United States,1972 Summer,1972,Sailing,Sailing Mixed Three Person Keelboat,Gold
359,John Chad Allen,M,21.0,185.0,86.0,United States,1996 Summer,1996,Baseball,Baseball Men's Baseball,Bronze
360,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,Austria,2004 Summer,2004,Triathlon,Triathlon Women's Olympic Distance,Gold
361,"Kate Ruth ""Katie"" Allen",F,26.0,170.0,65.0,Australia,2000 Summer,2000,Hockey,Hockey Women's Hockey,Gold
362,Walter Ray Allen,M,25.0,192.0,93.0,United States,2000 Summer,2000,Basketball,Basketball Men's Basketball,Gold
363,Wyatt Allen,M,25.0,193.0,98.0,United States,2004 Summer,2004,Rowing,Rowing Men's Coxed Eights,Gold
364,Wyatt Allen,M,29.0,193.0,98.0,United States,2008 Summer,2008,Rowing,Rowing Men's Coxed Eights,Bronze
365,"Sandra Louise ""Sandy"" Allen-Lewis",F,21.0,170.0,59.0,Australia,2000 Summer,2000,Softball,Softball Women's Softball,Bronze
366,"Sandra Louise ""Sandy"" Allen-Lewis",F,25.0,170.0,59.0,Australia,2004 Summer,2004,Softball,Softball Women's Softball,Silver
367,"Sandra Louise ""Sandy"" Allen-Lewis",F,29.0,170.0,59.0,Australia,2008 Summer,2008,Softball,Softball Women's Softball,Bronze
368,"Katherine Fiona ""Kate"" Allenby",F,26.0,177.0,72.0,Great Britain,2000 Summer,2000,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
369,Ade Franci Alleyne-Forte,M,23.0,180.0,73.0,Trinidad and Tobago,2012 Summer,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
370,Derek Swithin Allhusen,M,54.0,180.0,71.0,Great Britain,1968 Summer,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
371,Derek Swithin Allhusen,M,54.0,180.0,71.0,Great Britain,1968 Summer,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
372,Lynne Marie Allsup (-Olson),F,15.0,163.0,59.0,United States,1964 Summer,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
373,Carmela Allucci,F,34.0,167.0,60.0,Italy,2004 Summer,2004,Water Polo,Water Polo Women's Water Polo,Gold
374,Knut Emil Willehard Alm,M,31.0,170.0,63.0,Sweden,1920 Summer,1920,Athletics,"Athletics Men's Cross-Country, Team",Bronze
375,Matas Jess Almeyda,M,22.0,173.0,70.0,Argentina,1996 Summer,1996,Football,Football Men's Football,Silver
376,Erik Albin Almlf,M,20.0,188.0,73.0,Sweden,1912 Summer,1912,Athletics,Athletics Men's Triple Jump,Bronze
377,Erik Albin Almlf,M,28.0,188.0,73.0,Sweden,1920 Summer,1920,Athletics,Athletics Men's Triple Jump,Bronze
